,Manchester United,PSG,Roma,Barcelona,Liverpool,Manchester City,Besiktas,Tottenham
Basel,0,77619,109579,101743,109390,106223,77681,109578
Bayern,102611,0,105776,95594,105814,102216,74310,105492
Chelsea,0,197487,0,297429,0,0,196897,0
Juventus,127033,88508,0,0,130681,126742,88101,130748
Sevilla,127046,88032,130612,0,0,126700,88594,130829
Shaktar,106378,77465,109712,101419,109733,0,77423,109683
Porto,102304,74376,105326,95628,105710,102986,0,105483
Real Madrid,126441,88326,130808,0,130485,126946,88807,0
,Manchester United,PSG,Roma,Barcelona,Liverpool,Manchester City,Besiktas,Tottenham
Basel,0.0,11.219650396855798,15.839395906119139,14.706719879505012,15.812076384803408,15.354293718100124,11.228612356229211,15.83925135838731
Bayern,14.832187310732813,0.0,15.289680881972439,13.817895876486855,15.295173695781953,14.775090956660254,10.741341952232757,15.248629326132928
Chelsea,0.0,28.546297915766257,0.0,42.99268733024676,0.0,0.0,28.461014753986984,0.0
Juventus,18.362332017467146,12.793630648744674,0.0,0.0,18.88964214318031,18.32026862750483,12.734799721890164,18.899326841212872
Sevilla,18.36421113798093,12.724825928393946,18.879668349684092,0.0,0.0,18.314197622768003,12.806061753681991,18.911035207491043
Shaktar,15.37669861653366,11.19739004615409,15.858620754452431,14.659886414392329,15.861656256820847,0.0,11.191319041417263,15.854428870229384
Porto,14.78781115706123,10.750882102533488,15.22463440264927,13.822810499369048,15.28014073167171,14.886392710168789,0.0,15.247328396546466
Real Madrid,18.276759760224223,12.76732296155175,18.907999705122627,0.0,18.861310787741775,18.349756364798,12.836850420561627,0.0
