,Manchester United,PSG,Roma,Barcelona,Liverpool,Manchester City,Besiktas,Tottenham
Basel,0,7,8,11,10,6,6,15
Bayern,11,0,6,11,12,7,6,10
Chelsea,0,21,0,23,0,0,19,0
Juventus,8,10,0,0,15,11,10,9
Sevilla,9,10,13,0,0,17,7,7
Shaktar,18,6,10,9,6,0,7,7
Porto,7,3,9,9,12,8,0,15
Real Madrid,10,6,17,0,8,14,8,0
,Manchester United,PSG,Roma,Barcelona,Liverpool,Manchester City,Besiktas,Tottenham
Basel,0.0,0.1111111111111111,0.12698412698412698,0.1746031746031746,0.15873015873015872,0.09523809523809523,0.09523809523809523,0.23809523809523808
Bayern,0.1746031746031746,0.0,0.09523809523809523,0.1746031746031746,0.19047619047619047,0.1111111111111111,0.09523809523809523,0.15873015873015872
Chelsea,0.0,0.3333333333333333,0.0,0.36507936507936506,0.0,0.0,0.30158730158730157,0.0
Juventus,0.12698412698412698,0.15873015873015872,0.0,0.0,0.23809523809523808,0.1746031746031746,0.15873015873015872,0.14285714285714285
Sevilla,0.14285714285714285,0.15873015873015872,0.20634920634920634,0.0,0.0,0.2698412698412698,0.1111111111111111,0.1111111111111111
Shaktar,0.2857142857142857,0.09523809523809523,0.15873015873015872,0.14285714285714285,0.09523809523809523,0.0,0.1111111111111111,0.1111111111111111
Porto,0.1111111111111111,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.12698412698412698,0.0,0.23809523809523808
Real Madrid,0.15873015873015872,0.09523809523809523,0.2698412698412698,0.0,0.12698412698412698,0.2222222222222222,0.12698412698412698,0.0
