,Villarreal,Dynamo Kyiv,Braga,Milan,Atalanta,Sheriff,FCSB,Arsenal,Salzburg,Ostersunds,Lazio,Zenit,CSKA Moskva,RB Leipzig,Atletico Madrid,Sporting
Slavia Praha,0,57743,58073,61646,62345,58361,57804,57842,57933,58400,63030,67685,62871,62225,62893,54521
Partizan,67206,0,56798,61868,61445,57828,57083,57321,57443,57662,61579,67939,62101,60973,62155,53971
Ludogorets,67176,57348,0,61643,61457,57832,57150,57231,56932,57617,61673,67921,61781,61623,62501,53487
AEK Athens,67476,56997,57705,0,62148,57762,57531,57532,57212,58187,61697,68132,62605,61665,62646,54077
Olympique Lyonnais,67548,57734,57293,62130,0,57706,57357,58006,57458,57918,61988,67569,62105,61692,62783,54085
Lokomotiv Moskva,78355,66826,66970,72004,71594,0,66457,67346,66393,67533,72097,0,0,71488,73321,62988
Viktoria Plzen,67203,57219,57137,62309,61380,57848,0,57432,57077,57657,61652,67233,61990,61371,62628,53236
Koln,72369,61346,60882,65625,66301,61720,61611,0,61333,61990,66209,72349,66832,0,67623,57182
Marseille,67116,57360,57001,61475,61990,57508,56846,57590,0,58118,62128,67481,61710,61297,62361,53391
Athletic Club,0,66387,66876,72157,71894,67739,66602,66992,66800,0,72059,78596,71987,72369,0,62914
Nice,67535,57201,57357,62590,62279,57975,57838,57466,57563,57715,0,67456,62247,61188,62832,54130
Real Sociedad,0,67807,67551,72704,72927,68340,67764,67985,66971,68484,72876,0,73422,72370,0,64171
Borussia Dortmund,67351,57136,57245,61786,62046,58083,57274,58007,57480,57846,62025,68025,62689,0,62637,53742
Celtic,63110,53623,53568,58278,58233,54341,53760,53576,54173,54147,57789,64008,58521,57456,58482,50307
Napoli,77878,66468,66752,0,0,67223,66250,66724,66612,67419,0,78978,72511,71092,72659,62806
Spartak Moskva,73049,62177,62164,67157,67333,63106,62045,62322,61992,62679,66570,0,0,66563,67851,58364
,Villarreal,Dynamo Kyiv,Braga,Milan,Atalanta,Sheriff,FCSB,Arsenal,Salzburg,Ostersunds,Lazio,Zenit,CSKA Moskva,RB Leipzig,Atletico Madrid,Sporting
Slavia Praha,0.0,0.06391940418786503,0.06428470220462888,0.06823988345886302,0.06901365107619009,0.06460350774653188,0.06398692897278198,0.06402899359289418,0.06412972728842603,0.06464667933033125,0.06977192120189689,0.07492483716564162,0.06959591397563794,0.06888081543373051,0.06962026717675554,0.060352767187825174
Partizan,0.07439460155949044,0.0,0.0628733235034958,0.06848562939741325,0.06801738375774322,0.0640134961012739,0.0631888081543373,0.06345226551188214,0.06358731508171606,0.0638297401292048,0.06816571689182307,0.07520600594218108,0.06874355193652228,0.06749489689740218,0.06880332797562909,0.05974393715988541
Ludogorets,0.07436139264887555,0.06348215353143556,0.0,0.06823656256780153,0.06803066732198917,0.06401792395602254,0.06326297472137724,0.06335263878003745,0.06302165663757565,0.06377992676328245,0.06826977147841642,0.07518608059581214,0.06838932355663005,0.06821442329405826,0.06918633741138756,0.05920816673529841
